countryname,wbcode,AsiaPacific,region,incgroup2,incgroup4,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,IGP,NL1,NL2,COR,MAcatC1,Q4_IGpri,BHQ1,BHQ2,BHQ3,BHQ4,Q4BH,Q4child,Delta50,IGEincome,S1,S2,S3
Croatia,HRV,0,High income,High-income economies,High income,231,0.036,0.267,0.297,0.307,0.093,0.022,0.052,0.145,0.529,0.252,8.768,11.712,0.479,0.810,-0.019,0.542,0.635,0.452,0.430,0.221,0.225,0.123,0.325,0.237,4.705,0.464,0.183,0.058,0.759
India,IND,1,South Asia,Developing economies,Lower middle income,9923,0.893,0.065,0.020,0.016,0.006,0.374,0.162,0.157,0.135,0.173,0.957,6.364,0.813,1.240,-0.049,0.391,0.610,0.555,0.200,0.242,0.291,0.267,0.201,0.337,5.485,0.596,0.178,0.072,0.750
Ireland,IRL,0,High income,High-income economies,High income,476,0.124,0.326,0.250,0.235,0.064,0.013,0.054,0.223,0.413,0.297,7.781,14.321,0.311,-0.036,0.026,0.393,0.758,0.477,0.417,0.225,0.216,0.143,0.227,0.238,8.940,0.256,,,
Italy,ITA,0,High income,High-income economies,High income,208,0.086,0.384,0.325,0.181,0.024,0.000,0.014,0.320,0.478,0.187,7.545,12.179,0.458,0.732,-0.015,0.467,0.794,0.395,0.399,0.270,0.196,0.135,0.255,0.239,6.150,0.488,,,
Jordan,JOR,0,Middle East & North Africa,Developing economies,Upper middle income,1659,0.711,0.146,0.075,0.059,0.009,0.065,0.051,0.412,0.304,0.167,2.491,11.188,0.272,0.025,0.023,0.299,0.878,0.402,0.314,0.273,0.237,0.177,0.334,0.232,10.587,0.517,0.051,0.023,0.926
Japan,JPN,1,High income,High-income economies,High income,261,0.000,0.068,0.423,0.427,0.081,0.000,0.000,0.061,0.459,0.480,10.630,13.784,0.374,-0.195,0.026,0.381,0.770,0.525,0.324,0.298,0.139,0.239,0.273,0.355,4.493,0.340,0.061,0.027,0.912
Kazakhstan,KAZ,0,Europe & Central Asia,Developing economies,Upper middle income,174,0.002,0.051,0.101,0.567,0.279,0.000,0.000,0.069,0.605,0.326,11.237,12.044,0.216,0.100,0.006,0.280,0.392,0.310,0.441,0.231,0.161,0.166,0.471,0.212,2.481,0.238,0.028,0.012,0.960
Kenya,KEN,0,Sub-Saharan Africa,Developing economies,Lower middle income,313,0.391,0.003,0.328,0.202,0.076,0.097,0.182,0.158,0.433,0.130,6.877,10.867,0.191,-0.238,0.032,0.266,0.609,0.509,0.254,0.237,0.256,0.253,0.247,0.307,8.320,0.670,0.139,0.032,0.829
Kyrgyz Republic,KGZ,0,Europe & Central Asia,Developing economies,Lower middle income,222,0.040,0.110,0.155,0.515,0.181,0.000,0.000,0.026,0.716,0.259,9.960,12.055,0.102,-0.280,0.022,0.168,0.507,0.343,0.275,0.280,0.221,0.224,0.267,0.255,4.312,0.353,0.064,0.114,0.822
"Korea, Rep.",KOR,1,High income,High-income economies,High income,1255,0.136,0.400,0.233,0.201,0.030,0.000,0.008,0.046,0.313,0.634,7.393,14.447,0.201,0.173,0.002,0.337,0.945,0.415,0.330,0.265,0.216,0.189,0.289,0.280,9.365,0.394,,,
Luxembourg,LUX,0,High income,High-income economies,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381,,,
Latvia,LVA,0,High income,High-income economies,High income,132,0.010,0.054,0.223,0.506,0.208,0.000,0.013,0.081,0.625,0.281,12.661,13.486,0.270,-0.148,0.018,0.359,0.481,0.286,0.421,0.275,0.191,0.112,0.377,0.180,2.697,0.890,0.035,0.051,0.914
Morocco,MAR,0,Middle East & North Africa,Developing economies,Lower middle income,2378,0.916,0.054,0.020,0.006,0.004,0.213,0.328,0.224,0.128,0.106,0.636,7.118,0.514,0.537,-0.002,0.245,0.767,0.383,0.158,0.249,0.321,0.272,0.311,0.301,6.770,0.946,0.144,0.074,0.783
Madagascar,MDG,0,Sub-Saharan Africa,Developing economies,Low income,2234,0.818,0.128,0.036,0.012,0.005,0.297,0.213,0.311,0.148,0.032,2.726,5.444,0.571,0.288,0.031,0.465,0.675,0.489,0.289,0.298,0.258,0.155,0.281,0.255,3.722,0.690,0.292,0.058,0.650
"Macedonia, FYR",MKD,0,Europe & Central Asia,Developing economies,Upper middle income,205,0.113,0.408,0.226,0.221,0.032,0.021,0.237,0.106,0.453,0.183,6.673,10.217,0.541,0.597,-0.004,0.516,0.611,0.485,0.325,0.314,0.206,0.155,0.160,0.270,5.056,0.417,0.082,0.079,0.839
Mali,MLI,0,Sub-Saharan Africa,Developing economies,Low income,1335,0.923,0.037,0.013,0.020,0.007,0.802,0.069,0.039,0.058,0.031,0.720,2.220,0.545,0.566,-0.002,0.319,0.173,0.405,0.239,0.242,0.235,0.285,0.399,0.315,1.850,0.714,0.116,0.089,0.795
Mongolia,MNG,1,East Asia & Pacific,Developing economies,Lower middle income,219,0.100,0.232,0.174,0.329,0.165,0.004,0.024,0.180,0.477,0.316,7.949,10.866,0.080,-0.073,0.011,0.119,0.679,0.261,0.369,0.214,0.189,0.228,0.520,0.240,6.240,0.401,0.095,0.028,0.877
Malawi,MWI,0,Sub-Saharan Africa,Developing economies,Low income,735,0.926,0.003,0.054,0.015,0.001,0.459,0.162,0.237,0.113,0.029,0.714,5.857,0.514,0.501,0.001,0.311,0.508,0.462,0.168,0.240,0.285,0.307,0.311,0.344,5.482,0.740,0.146,0.044,0.810
Malaysia,MYS,1,East Asia & Pacific,Developing economies,Upper middle income,229,0.545,0.281,0.060,0.084,0.029,0.034,0.094,0.140,0.516,0.215,4.240,11.275,0.424,0.285,0.012,0.490,0.918,0.453,0.375,0.264,0.240,0.120,0.316,0.247,9.399,0.540,,,
Nigeria,NGA,0,Sub-Saharan Africa,Developing economies,Lower middle income,1149,0.550,0.313,0.028,0.070,0.040,0.203,0.237,0.070,0.291,0.199,3.756,8.787,0.327,-0.251,0.049,0.279,0.632,0.446,0.191,0.249,0.292,0.269,0.264,0.323,8.017,0.658,0.090,0.043,0.866
Netherlands,NLD,0,High income,High-income economies,High income,442,0.079,0.246,0.530,0.079,0.066,0.000,0.017,0.216,0.414,0.352,8.224,14.705,0.180,-0.002,0.012,0.183,0.860,0.413,0.268,0.254,0.257,0.221,0.340,0.279,8.235,0.304,,,
Norway,NOR,0,High income,High-income economies,High income,437,0.031,0.089,0.455,0.279,0.145,0.000,0.000,0.169,0.473,0.358,10.336,13.252,0.355,-0.132,0.025,0.320,0.697,0.362,0.339,0.318,0.215,0.129,0.315,0.211,4.507,0.199,,,
Nepal,NPL,1,South Asia,Developing economies,Low income,1221,0.956,0.038,0.003,0.002,0.000,0.553,0.134,0.069,0.196,0.048,0.263,4.602,1.016,1.478,-0.069,0.266,0.440,0.507,0.159,0.160,0.275,0.406,0.254,0.429,4.310,0.436,0.175,0.034,0.791
New Zealand,NZL,1,High income,High-income economies,High income,51,0.020,0.059,0.216,0.333,0.373,0.000,0.000,0.216,0.255,0.529,13.412,14.627,0.153,0.168,-0.001,0.193,0.563,0.299,0.394,0.206,0.160,0.240,0.418,0.277,3.023,0.290,,,
Pakistan,PAK,1,South Asia,Developing economies,Lower middle income,2635,0.960,0.018,0.011,0.010,0.001,0.445,0.175,0.115,0.178,0.087,0.381,5.376,0.864,1.424,-0.064,0.287,0.548,0.460,0.175,0.170,0.322,0.333,0.261,0.367,4.985,0.451,0.104,0.035,0.861
Panama,PAN,0,Latin America & Caribbean,Developing economies,Upper middle income,1681,0.365,0.304,0.099,0.138,0.093,0.107,0.265,0.147,0.251,0.230,6.410,10.205,0.496,0.600,-0.007,0.556,0.646,0.451,0.420,0.289,0.198,0.092,0.192,0.203,5.813,0.967,0.162,0.048,0.790
Peru,PER,0,Latin America & Caribbean,Developing economies,Upper middle income,4744,0.724,0.151,0.026,0.086,0.013,0.158,0.230,0.078,0.375,0.158,3.000,9.440,0.621,0.963,-0.031,0.516,0.771,0.540,0.371,0.320,0.209,0.100,0.149,0.251,7.203,0.667,0.192,0.064,0.745
Portugal,PRT,0,High income,High-income economies,High income,328,0.322,0.628,0.014,0.019,0.017,0.021,0.523,0.172,0.153,0.131,4.389,8.627,0.600,0.579,0.002,0.457,0.675,0.358,0.323,0.348,0.194,0.135,0.389,0.228,5.132,0.282,,,
Romania,ROM,0,Europe & Central Asia,Developing economies,Upper middle income,181,0.036,0.246,0.431,0.220,0.067,0.000,0.059,0.163,0.545,0.233,8.673,12.458,0.510,0.681,-0.010,0.578,0.752,0.621,0.397,0.351,0.186,0.065,0.117,0.222,5.190,0.370,0.086,0.176,0.738
Russian Federation,RUS,0,Europe & Central Asia,Developing economies,Upper middle income,295,0.023,0.214,0.245,0.155,0.363,0.000,0.011,0.054,0.486,0.449,9.308,12.208,0.116,-0.102,0.012,0.216,0.831,0.388,0.288,0.305,0.267,0.141,0.434,0.232,6.283,0.330,,,
Rwanda,RWA,0,Sub-Saharan Africa,Developing economies,Low income,1790,0.899,0.082,0.005,0.006,0.008,0.485,0.335,0.039,0.064,0.077,1.396,5.497,0.509,0.468,0.005,0.313,0.473,0.414,0.290,0.257,0.236,0.216,0.304,0.268,4.841,0.789,0.178,0.124,0.699
Singapore,SGP,1,High income,High-income economies,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260,,,
Slovak Republic,SVK,0,High income,High-income economies,High income,269,0.003,0.060,0.367,0.515,0.055,0.000,0.001,0.032,0.821,0.146,10.242,13.318,0.239,-0.265,0.025,0.302,0.520,0.349,0.302,0.249,0.260,0.189,0.408,0.247,5.166,0.596,,,
Slovenia,SVN,0,High income,High-income economies,High income,284,0.030,0.104,0.483,0.298,0.084,0.000,0.008,0.136,0.656,0.200,9.182,12.084,0.365,-0.047,0.023,0.431,0.663,0.408,0.362,0.311,0.212,0.115,0.259,0.214,4.500,0.311,,,
Sweden,SWE,0,High income,High-income economies,High income,375,0.105,0.316,0.156,0.247,0.176,0.000,0.024,0.132,0.581,0.263,9.133,13.124,0.232,0.035,0.011,0.360,0.754,0.383,0.391,0.300,0.195,0.113,0.358,0.207,6.982,0.260,,,
Timor-Leste,TMP,1,East Asia & Pacific,Developing economies,Lower middle income,1451,0.980,0.010,0.006,0.004,0.000,0.359,0.160,0.130,0.286,0.066,0.236,7.209,0.734,1.670,-0.108,0.177,0.636,0.369,0.201,0.242,0.261,0.296,0.378,0.312,6.999,0.702,0.031,0.104,0.865
Tunisia,TUN,0,Middle East & North Africa,Developing economies,Lower middle income,831,0.918,0.046,0.002,0.022,0.013,0.268,0.261,0.174,0.168,0.129,0.784,8.573,0.585,0.871,-0.022,0.353,0.718,0.438,0.178,0.273,0.285,0.264,0.326,0.304,8.114,0.860,0.130,0.023,0.847
"Taiwan, China",TWN,1,High income,High-income economies,High income,366,0.473,0.411,0.069,0.029,0.017,0.002,0.036,0.208,0.442,0.311,3.698,12.221,0.305,0.235,0.007,0.396,0.980,0.460,0.292,0.270,0.269,0.169,0.302,0.279,11.011,0.181,0.100,0.029,0.871
Tanzania,TZA,0,Sub-Saharan Africa,Developing economies,Low income,1047,0.673,0.285,0.011,0.024,0.007,0.235,0.645,0.089,0.017,0.014,2.935,6.503,0.318,0.199,0.013,0.354,0.542,0.441,0.314,0.246,0.247,0.192,0.334,0.285,5.548,0.512,0.195,0.049,0.756
Uganda,UGA,0,Sub-Saharan Africa,Developing economies,Low income,498,0.882,0.086,0.015,0.000,0.017,0.505,0.280,0.091,0.028,0.096,1.084,6.948,0.499,0.439,0.005,0.356,0.456,0.465,0.181,0.268,0.287,0.264,0.306,0.314,6.417,1.029,0.128,0.017,0.855
United States,USA,1,High income,High-income economies,High income,1022,0.056,0.059,0.118,0.564,0.204,0.003,0.025,0.060,0.494,0.418,11.768,13.740,0.385,0.295,0.005,0.501,0.563,0.449,0.364,0.285,0.192,0.159,0.310,0.242,3.248,0.538,0.058,0.043,0.899
Uzbekistan,UZB,0,Europe & Central Asia,Developing economies,Lower middle income,261,0.010,0.060,0.228,0.569,0.133,0.000,0.000,0.144,0.741,0.115,9.861,10.248,0.141,-0.074,0.011,0.229,0.348,0.326,0.285,0.284,0.283,0.148,0.451,0.204,1.613,0.497,0.067,0.016,0.917
Vietnam,VNM,1,East Asia & Pacific,Developing economies,Lower middle income,348,0.508,0.277,0.105,0.073,0.036,0.094,0.174,0.257,0.284,0.191,3.546,9.685,0.459,0.713,-0.024,0.432,0.782,0.485,0.426,0.274,0.187,0.113,0.279,0.258,7.706,0.480,0.138,0.030,0.832
South Africa,ZAF,0,Sub-Saharan Africa,Developing economies,Upper middle income,1030,0.669,0.183,0.076,0.061,0.011,0.279,0.154,0.202,0.213,0.152,3.833,9.085,0.379,0.458,-0.008,0.370,0.631,0.469,0.347,0.283,0.210,0.160,0.211,0.260,7.640,0.677,0.078,0.067,0.855
"Congo, Dem. Rep.",ZAR,0,Sub-Saharan Africa,Developing economies,Low income,4985,0.636,0.179,0.067,0.077,0.042,0.284,0.247,0.119,0.224,0.126,4.564,8.333,0.396,0.513,-0.009,0.357,0.584,0.524,0.213,0.263,0.296,0.228,0.173,0.336,5.862,0.708,0.034,0.032,0.934
